"Model","Subset","Metric","Variance","SD","Mean","Median"
"MAP",3858,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",3858,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",3858,"Accuracy",0,0,64.8648648648649,0
"MLE",3858,"F1",0,0,46.5753424657534,0
"MLE",3858,"Precision",0,0,33.6633663366337,0
"MLE",3858,"Recall",0,0,75.5555555555556,0
"MLE",3858,"AUC ROC",0,0,68.8512241054614,0
"MLE",3858,"Coverage",0,0,20.1634877384196,0
"MV",3858,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",3858,"F1",0,0,48.9208633093525,48.9208633093525
"MV",3858,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",3858,"Recall",0,0,85,85
"MV",3858,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",3858,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",3858,"Accuracy",0,0,91.4623069936421,91.4623069936421
"SVM",3858,"F1",0,0,17.5438596491228,17.5438596491228
"SVM",3858,"Precision",0,0,30.3030303030303,30.3030303030303
"SVM",3858,"Recall",0,0,12.3456790123457,12.3456790123457
"SVM",3858,"AUC ROC",0,0,55.0453885257807,55.0453885257807
"SVM",3858,"Coverage",0,0,100,100
