"Model","Subset","Metric","Variance","SD","Mean","Median"
"MAP",1656,"F1",0,0,87.3015873015873,87.3015873015873
"MAP",1656,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",1656,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",1656,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MAP",1656,"Coverage",0,0,100,100
"MLE",1656,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MLE",1656,"F1",0,0,87.3015873015873,87.3015873015873
"MLE",1656,"Precision",0,0,80.8823529411765,80.8823529411765
"MLE",1656,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",1656,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MLE",1656,"Coverage",0,0,100,100
"MV",1656,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",1656,"F1",0,0,87.3015873015873,87.3015873015873
"MV",1656,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",1656,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",1656,"AUC ROC",0,0,86.6403124404649,86.6403124404649
"MV",1656,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",1656,"Accuracy",0,0,85.4347826086956,85.4347826086956
"SVM",1656,"F1",0,0,81.0198300283286,81.0198300283286
"SVM",1656,"Precision",0,0,79.8882681564246,79.8882681564246
"SVM",1656,"Recall",0,0,82.183908045977,82.183908045977
"SVM",1656,"AUC ROC",0,0,84.7982477292822,84.7982477292822
"SVM",1656,"Coverage",0,0,100,100
